Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
300586,2022.0,基础设施建设补贴,57636.0,15608768.92,0.0,15608768.0,0,1
601718,2017.0,预警费,5000.0,1022621504.0,0.0,1022621504.0,1,1
600546,2013.0,长子县煤管局煤矿瓦斯监控补助资金,348394.0,18500494.12,0.0,18500494.0,1,1
600741,2008.0,绕道补偿款,49644010.0,504449688.8,40388652.84,504449688.0,0,1
002454,2017.0,重庆科委高新技术产品奖励,60000.0,11580976.68,0.0,11580978.0,0,1
300959,2022.0,进项税加计扣减,17658086.0,21690817.1,2011416.6,21690818.0,0,1
600623,2023.0,如皋市发改委能源优化项目专项资金,300000.0,163233325.7,0.0,163233323.0,0,1
600303,2009.0,政府补贴1,5000000.0,36370705.24,0.0,24275353.0,0,0
002708,2017.0,津财建二指[2015]10号,395233.0,6754843.84,0.0,6754843.0,0,1
300679,2023.0,工业稳增长扶持,93000.0,11608712.54,0.0,11608712.0,0,1
000410,2010.0,收到的与收益相关的政府补贴其中：专项用于数控机床功能部件及立式加工中心产业化项目贷款财政贴息,5310000.0,198339269.5,0.0,185520000.0,0,0
300681,2019.0,展厅建设补助资金,714941.0,19224025.96,0.0,19224026.0,1,1
833509,2020.0,代扣个人所得税手续费返还,13037.0,7449130.28,0.0,7449131.0,0,1
002472,2022.0,招用退役士兵税额减免,66396.0,105486564.6,0.0,105486562.0,0,1
600353,2008.0,科学技术进步奖,10000.0,319000.0,0.0,319000.0,1,1
000513,2022.0,先进药品制造互联网标杆项目2,90000.0,422449635.2,0.0,308519203.0,0,0
002448,2011.0,200万只重型发动机气缸套项目,120000.0,4761903.33,0.0,4761903.0,1,1
002321,2020.0,19年度研发费用政府补贴,100000.0,91238599.38,120000.0,91238600.0,0,1
002519,2009.0,扩大生产稳定就业奖励,56714.0,6178358.31,0.0,6178358.0,1,1
000705,2022.0,与资产相关的政府补助其中：年产3000万支瓶冻干粉针剂、3000万支小水针注射剂GMP改造项目,710000.0,16417529.89,71604.4,16417531.0,0,1
300435,2022.0,2021年企业研发经费投入财政补助,927000.0,12264900.52,0.0,12264900.0,0,1
002810,2020.0,与收益相关的政府补助,3377943.0,5847538.71,0.0,5847539.0,1,1
002737,2022.0,衡水收到奖励基金,5713643.0,83270442.94,0.0,82644041.0,0,1
